RXN-13195	EC-2.1.1.256
DIHYDROBUNOLOL-DEHYDROGENASE-RXN	EC-1.1.1.160
RXN-21096	EC-2.3.1.M91
RXN-7640	
RXN-13084	EC-1.4.1
RXN-19717	
RXN-10609	EC-2.4.1.17
RXN-14112	EC-3.1.4.16
RXN-9615	
RXN-11657	EC-1.10.3
RXN-15842	EC-2.1.1.309
3.4.24.7-RXN	EC-3.4.24.7
RXN-13543	EC-3.1.1
1.2.1.47-RXN	EC-1.2.1.47
3.1.21.6-RXN	EC-3.1.21.6
RXN1G-1636	EC-2.3.1
RXN0-385	EC-3.6.1.9
RXN-8265	EC-2.4.1
RXN-18702	
RXN-16946	EC-3.7.1.23
RXN-16307	
RXN-14572	EC-5.1.3.26
RXN-4221	
ACETYLINDOXYL-OXIDASE-RXN	EC-1.7.3.2
RXN-19126	EC-3.1.3
RXNQT-4398	EC-2.4.1
RXN-11066	
RXN-17426	EC-1.3.1.111
D-LYSOPINE-DEHYDROGENASE-RXN	EC-1.5.1.16
HISTIDINE-DECARBOXYLASE-RXN	EC-4.1.1.22
RXN-7251	EC-3.1.3
RXN-20210	EC-1.14.15.37
RXN-14003	EC-3.6.1.64
RXN-12160	EC-2.1.1.222
RXN-11527	EC-4.2.3.23
NAD-KIN-RXN	EC-2.7.1.23
3.4.23.22-RXN	EC-3.4.23.22
2.4.1.225-RXN	EC-2.4.1.225
1.14.11.3-RXN	EC-1.14.11.3
RXN-8712	EC-2.3.1.M35
RXN18C3-38	EC-2.3.1
RXN-20680	EC-1.1.1
RXN-16823	EC-1.11.2.M1
RXN-15008	EC-2.8.3
RXN-14461	EC-2.7.1.180
RXN-12698	EC-2.4.1.35
6.2.1.34-RXN	EC-6.2.1.34
CHOLOYLGLYCINE-HYDROLASE-RXN	EC-3.5.1.24
RXNMETA-12671	EC-3.3.2.12
TRANS-RXN-337	
RXN-19626	EC-2.5.1.18
RXN-9190	EC-2.5.1.74
RXN-17326	EC-2.3.1.288
RXN-17877	EC-3.4.11.18
GLYCINE-FORMIMINOTRANSFERASE-RXN	EC-2.1.2.4
RXN-15436	EC-2.1.1
RXN-8149	EC-1.14.11.32
YIAE1-RXN	EC-1.1.1
RXN-20095	
RXN-18319	EC-2.6.1.92
RXN-12049	
R268-RXN	EC-3.7.1
METHANOL-DEHYDROGENASE-RXN	EC-1.1.1.244
RXN-21206	
2.3.1.80-RXN	EC-2.3.1.80
RXN-13166	EC-1.1.3
RXN-8600	EC-4.2.3
RXN-10695	EC-6.2.1
RXN-14896	EC-4.2.1
RXN-9739	EC-1.8.1.M2
RXN-12579	EC-3.1.1.3
RXN-4681	EC-1.5.99
CALDESMON-PHOSPHATASE-RXN	EC-3.1.3.55
RXN-15955	
TRANS-RXN-214	EC-7.2.1.1
RXN-13642	EC-1.13.11.68
RXN-17753	
3.11.1.3-RXN	EC-3.11.1.3
RXN-15337	
RXN0-5187	EC-3.1.3.102
TSDOSALCAL-RXN	EC-1.14.12
RXN-18786	EC-4.2.3.159
RXN-20597	EC-1.14.11.M18
RXN-16427	EC-2.7.7.77
RXN-18227	EC-3.2.1.147
RXN-19208	EC-5.1.3
PYRUVATE-KINASE-PHOSPHATASE-RXN	EC-3.1.3.49
RXN-11159	
RXN-9073	EC-1.10.3
DIAMINOPIMDECARB-RXN	EC-4.1.1.20
RXN-21073	EC-4.3.3.M2
RXN-7611	
RXN-13065	EC-1.5.3.21
RXN-14091	EC-3.1.4.16
RXN-10482	EC-4.2.3.54
RXN-11629	EC-2.7.1
RXN-9592	EC-1.2.1.73
3.4.24.55-RXN	EC-3.4.24.55
RXN-15806	EC-1.2.98
1.14.99.38-RXN	EC-1.14.99.38
RXN-13524	EC-1.14.99
RXN1F-66	EC-2.5.1.62
3.1.13.2-RXN	EC-3.1.13.2
RXN-8239	EC-2.1.1
RXN0-3364	EC-3.4.23.51
RXN-16923	EC-2.1.1
RXN-18679	EC-2.1.1.344
RXN-19930	
RXN-16284	EC-2.7.8.43
ACETOINDEHYDROG-A-RXN	EC-1.1.1
RXN-3962	EC-3.5.1.46
RXNQT-4351	EC-4.99.1.M4
RXN-19107	EC-2.1.1
RXN-17408	EC-1.1.1.395
RXN-11050	EC-3.7.1.11
HAONITRO-RXN	EC-1.7.2.6
D-AMINO-ACID-OXIDASE-RXN	EC-1.4.3.3
RXN-20181	EC-1.14.11.ak
RXN-7203	
RXN-12141	EC-3.3.2.10
RXN-13980	EC-2.3.1
N-ACYLHEXOSAMINE-OXIDASE-RXN	EC-1.1.3.29
RXN-11502	EC-3.2.1
2.4.1.208-RXN	EC-2.4.1.208
3.4.22.44-RXN	EC-3.4.22.44
RXN-8696	EC-1.14.19.74
1.13.11.48-RXN	EC-1.13.11.48
RXN-20664	EC-2.3.1
RXN-3943	EC-1.1
RXN-14991	EC-1.5.3.22
RXN-19104	EC-1.14.19.55
RXN-12679	EC-3.5.1
RXN-11047	EC-2.5.1.74
CHLOROPHYLLASE-RXN	EC-3.1.1.14
D-ALANINE-GAMMA-GLUTAMYLTRANSFERASE-RXN	EC-2.3.2.14
TRANS-RXN-313	
RXN-719	EC-1.14.14
RXN-9174	EC-4.1.1
RXN-13977	EC-2.3.1
RXN-17853	EC-2.3.1.254
RXN-11498	EC-1.97.1
RXN-15417	EC-2.5.1.121
3.4.22.41-RXN	EC-3.4.22.41
VINYLACETYL-COA-DELTA-ISOMERASE-RXN	EC-5.3.3.3
1.13.11.45-RXN	EC-1.13.11.45
RXN18C3-237	
RXN-18303	EC-2.8.2.11
R23-RXN	EC-1.1.1
RXN-16801	EC-1.14.12.23
RXN-21185	EC-6.2.2.a
RXN-14440	EC-2.4.1.300
RXN-13148	EC-2.4.1.301
5.99.1.2-RXN	EC-5.6.2.1
RXN-10672	EC-2.4.1.276
RXN6666-4	EC-1.4.3.4
RXN-9717	EC-2.4.1
RXN-19597	EC-2.3.1.272
RXN-4511	EC-1.14.14.135
RXN-17304	EC-1.1.1.M10
RXN-15936	EC-2.1.1
GLY3KIN-RXN	EC-2.7.1.31
RXN-13626	
RXN-8092	EC-1.2.3.1
3.1.4.42-RXN	EC-3.1.4.42
RXN-20069	EC-3.5.1.131
RXN0-5124	EC-2.4.1.44
RXN-12030	
RXN-18763	EC-3.2.1.147
MANNKIN-RXN	EC-2.7.1.7
RXN-16407	
2.3.1.173-RXN	EC-2.3.1.173
RXN-19189	
RXN-8580	EC-1.1.1.90
RXN-11132	EC-3.2.1.195
RXN-14871	
DEPHOSPHOCOAKIN-RXN	EC-2.7.1.24
RXN-12545	EC-2.7.1.147
RXN-7591	EC-1.14.11
BIOTINIDASE-RXN	EC-3.5.1.12
TRANS-RXN-195	
RXN-14073	EC-3.1.4.46
RXN-11610	EC-6.3.2
RXN-17728	EC-1.1.1.101
3.4.24.39-RXN	EC-3.4.24.39
RXN-15316	EC-3.1.21.8
1.14.13.99-RXN	EC-1.14.14.26
TRIMETAPHOSPHATASE-RXN	EC-3.6.1.2
RXN1F-163	EC-1.14.20
RXN-20577	EC-1.13.11
RXN-8219	EC-2.1.1
RXN-18208	
RXN-16890	EC-2.1.1.322
PYRIDINE-N-METHYLTRANSFERASE-RXN	EC-2.1.1.87
RXN-14525	EC-3.1.3.34
RXN-9051	EC-1.10.3.2
ABC-70-RXN	EC-7.3.2.3
RXN-21046	EC-2.1.1.hf
RXNQT-4333	EC-2.8.2.38
RXN-13030	EC-1.1.1.325
RXN-19688	EC-2.4.1
RXN-10451	EC-2.8.2.39
RXN-17388	EC-3.5.1.24
RXN-9566	
GUANOSINE-DIPHOSPHATASE-RXN	EC-3.6.1.42
RXN-15786	EC-2.1.1
RXN-20158	EC-2.4.1.362
RXN-13505	
RXN-12119	EC-2.4.1.274
3.1.1.58-RXN	EC-3.1.1.58
MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN	EC-3.1.3.25
RXN-18658	EC-1.1.1.eb
2.4.1.185-RXN	EC-2.4.1.185
RXN-16261	EC-3.1.4.11
RXN-8675	
RXN-3625	
RXN-14969	EC-5.3.1.3
RXN-19086	
RXN-12658	EC-1.1.1.340
RXN-11026	EC-1.3.3.6
CERAMIDE-KINASE-RXN	EC-2.7.1.138
CYSTEINE-AMINOTRANSFERASE-RXN	EC-2.6.1.3
TRANS-RXN-29	
RXN0-3	EC-7.4.2
RXN-9158	EC-1.1.1.341
RXN-712	EC-1.1
RXN-17831	EC-6.3.2
RXN-13961	EC-1.14.14.154
RXN-15398	EC-1.14.14.15
RXN-11471	EC-1.1.1.52
UROCANATE-HYDRATASE-RXN	EC-4.2.1.49
3.4.22.26-RXN	EC-3.4.22.26
RXN-20651	EC-6.2.1.3
1.10.1.1-RXN	EC-1.10.1.1
RXN-18285	EC-2.4.99.8
RXN18C3-113	EC-2.3.1
R211-RXN	EC-4.1.3
RXN-16781	EC-2.3.1
RXN-21166	
RXN-14425	EC-1.1.1.234
RXN-13125	EC-2.4.1.301
5.3.1.17-RXN	EC-5.3.1.17
RXN-10646	EC-1.14.13
RXN-19581	EC-3.4.13.23
RXN-9689	EC-1.14.14.148
RXN-17271	EC-2.3.1.282
RXN-4320	EC-2.3.1.115
GLUTAMINESYN-RXN	EC-6.3.1.2
RXN-15914	EC-2.7.6
RXN-8074	EC-5.2.1
RXN-13602	EC-3.2.1.21
RXN-20049	
3.1.3.76-RXN	EC-3.1.3.76
RXN-12012	EC-2.3.2
RXN0-5063	EC-2.8.4.3
MALSYN-RXN	EC-2.3.3.9
RXN-18746	EC-1.14.13
2.3.1.154-RXN	EC-2.3.1.176
RXN-16385	EC-1.14.19.46
RXN66-577	EC-1.5.8
RXN-19173	EC-2.4.1.M35
RXN-8561	EC-4.2.3.60
RXN-11108	EC-2.5.1.76
RXN-14854	EC-1.13.12
DEHYDRO-L-GULONATE-DECARBOXYLASE-RXN	EC-4.1.1.34
RXN-12527	EC-2.1.1
RXN-7567	EC-4.2.1.84
BETA-CYCLOPIAZONATE-DEHYDROGENASE-RXN	EC-1.21.99.1
TRANS-RXN-167	EC-2.7.1.193
RXN-14051	EC-2.8.3.13
RXN-11566	EC-1.5.1.43
RXN-17705	
3.4.24.24-RXN	EC-3.4.24.24
RXN-15300	EC-1.1.3.46
TRANS-RXN0-595	
1.14.13.73-RXN	EC-1.14.14.103
RXN1A0-6314	
RXN-20561	EC-3.1.1.4
RXN-8195	
RXN-18192	
RXN-16867	
PSEUDOURIDINE-KINASE-RXN	EC-2.7.1.83
RXN-14507	EC-4.2.1
RXN-9028	EC-2.6.1.86
ABC-27-RXN	EC-7.3.2.1
RXN-21027	
RXNQT-4317	
RXN-13014	
RXN-19672	EC-1.17.4.4
RXN-10433	EC-6.3
RXN-17371	EC-6.3.2
RXN-9501	EC-2.1.1.110
GSCYSSYN-RXN	
RXN-15766	EC-2.2.1.12
RXN-20139	EC-1.17.99.8
RXN-13488	EC-1.14.13.147
RXN-12096	EC-3.7.1.26
3-OH-BENZALDEHYDE-DEHYDROG-NADP+-RXN	EC-1.2.1.7
MONOMETHYL-SULFATASE-RXN	EC-3.1.6.16
RXN-18637	
2.4.1.151-RXN	EC-2.4.1.87
RXN-16245	EC-1.1.1.345
RXN-8648	EC-4.2.3.22
RXN-3523	
RXN-14942	EC-4.2.1.152
RXN-19061	
RXN-12629	EC-3.2.1
RXN-11007	EC-2.3.1
CDP-GLYCEROL-PYROPHOSPHATASE-RXN	EC-3.6.1.16
CYCLOHEXANOL-DEHYDROGENASE-RXN	EC-1.1.1.245
RXN0-2421	
TRANS-RXN-270	
RXN-9140	EC-4.2.3.152
RXN-7002	
RXN-17799	EC-2.3.1.16
RXN-13945	EC-1.11.1
RXN-15380	EC-2.3.1
RXN-11451	EC-1.1.99.37
UPPSYN-RXN	EC-2.5.1
3.4.21.92-RXN	EC-3.4.21.92
RXN-20635	
1.1.1.99-RXN	EC-1.1.1.99
RXN-18266	EC-2.4.1.122
RXN0-743	EC-5.4.99.18
R161-RXN	EC-1.5.99.4
RXN-16765	
RXN-21143	EC-2.3.2.w
RXN-14407	EC-1.14.11.38
RXN-13108	EC-1.14.13.178
5-NUCLEOTID-RXN	EC-3.1.3.5
RXN-10629	EC-1.1.1.326
RXN-19562	EC-4.4.1.13
RXN-9642	
RXN-17251	
RXN-15892	
GLUCURONOLACTONE-REDUCTASE-RXN	EC-1.1.1.20
RXN-13569	EC-5.4.3.9
RXN-8040	EC-5.5.1.18
3.1.27.8-RXN	EC-3.1.27.8
RXN-20029	EC-2.7.1.224
RXN0-4581	EC-2.7.8.42
RXN-11983	
RXN-18725	EC-2.4.1
MACROCIN-O-METHYLTRANSFERASE-RXN	EC-2.1.1.101
RXN-16361	EC-2.1.1.323
2.3.1.121-RXN	EC-2.3.1.121
RXN-4307	EC-2.5.1.27
RXN66-514	EC-1.13.11.34
RXN-19154	
RXN-8544	EC-4.2.3
RXN-11092	EC-2.4.2.47
RXN-14834	EC-2.1.1
DARABISOM-RXN	EC-5.3.1.3
RXN-12496	EC-5.5.1.19
RXN-745	
BAI3OXO-OXRED-RXN	EC-1.3.1.115
TRANS-RXN-14	
RXN-14026	EC-3.1.3.91	EC-3.1.3.5
RXN-11549	
RXN-17689	
3.4.23.44-RXN	EC-3.4.23.44
RXN-15283	EC-4.1.1.56
1.14.13.55-RXN	EC-1.14.14.98
RXN-20544	EC-3.1.1.111
RXN18C3-6	EC-2.6.1
RXN-18176	EC-3.4.19.16
RXN-8177	EC-2.4.1
PROSTAGLANDIN-E2-9-REDUCTASE-RXN	EC-1.1.1.189
RXN-16849	EC-1.14.15.14
RXN-9009	EC-1.1.1.309
RXN-14486	EC-1.3.1.93
RXN-21006	EC-4.1.2.61
9-FLUORENOL-DEHYDROGENASE-RXN	EC-1.1.1.256
RXN-12985	EC-4.2.3
RXNQT-4176	EC-4.2.1.170
RXN-1026	
TRANS-RXN0-570	
RXN-19655	EC-1.14.14.M29
RXN-17348	EC-2.1.1.330
RXN-9486	EC-1.14.14
GLYOHMETRANS-RXN	EC-2.1.2.1
RXN-15747	EC-1.14.14
RXN-20121	
RXN-13471	EC-2.4.1.126
RXN-12072	EC-1.14.12.19
3-HYDROXYBENZOATE-2-MONOOXYGENASE-RXN	EC-1.14.99.23
METHYLGUANIDINASE-RXN	EC-3.5.3.16
RXN-18618	EC-1.1.99.41
2.4.1.123-RXN	EC-2.4.1.123
RXN-16227	
RXN-8626	EC-2.7.1.177
RXN-3284	EC-4.2.1.105
RXN-14924	
RXN-19045	
RXN-12608	
RXN-10990	
CARNITINE-O-OCTANOYLTRANSFERASE-RXN	EC-2.3.1.137
CREATINASE-RXN	EC-3.5.3.3
TRANS-RXN-242A	
RXN0-2042	EC-1.14.13.149
RXN-9094	EC-2.4.1
RXN-6722	EC-2.1.1.273
RXN-17783	EC-1.3.8.8
RXN-13929	EC-2.1.1
RXN-15364	EC-1.13.11
RXN-11436	EC-4.4.1.M2
UDP-NACMUR-ALA-LIG-RXN	EC-6.3.2.8
3.4.21.77-RXN	EC-3.4.21.77
RXN-20618	EC-2.1.1.356
1.1.1.288-RXN	EC-1.1.1.288
RXN-1825	EC-3.2.1
RXN0-7316	EC-1.14.11.64
RXN-16743	
R107-RXN	
RXN-21102	
RXN-14382	
RXN-13091	
4.6.1.11-RXN	EC-4.2.3.13
RXN-10613	
RXN-19545	
RXN-9620	EC-1
RXN-17230	EC-1.1.1.M10
RXN-15847	EC-2.1.1
GLUCOSAMINEPNACETYLTRANS-RXN	EC-2.3.1.4
RXN-13550	EC-2.1.1.283
RXN-8022	
3.1.25.1-RXN	EC-3.1.25.1
RXN-20007	EC-3.1.1.107
RXN0-3962	EC-1.2.1.4
RXN-11962	EC-2.5.1.88
RXN-18709	EC-2.8.1
LXULRU5P-RXN	EC-5.1.3.22
RXN-16312	EC-1.10.3.2
2.1.1.97-RXN	EC-2.1.1.97
RXN-4228	EC-1.1
RXN66-494	
RXN-19134	EC-1.3.99.39
RXN-8527	EC-1.2.1.85
RXN-11071	
RXN-14818	EC-1.1.1.362
D-PPENTOMUT-RXN	EC-5.4.2.7
RXN-12445	EC-1.5.1.41
RXN-7301	EC-3.1.3.62
ASPARTYLTRANSFERASE-RXN	EC-2.3.2.7
TRANS-RXN-121	
RXN-14009	EC-2.4.1
RXN-11533	EC-1.1.99.M3
RXN-17668	EC-1.14.13.M41
3.4.23.27-RXN	EC-3.4.21.103
RXN-15255	EC-1.14.13.105
1.14.12.18-RXN	EC-1.14.12.18
RXN-20527	EC-2.7.1.68
RXN18C3-43	EC-2.3.1
RXN-18160	EC-1.14.14.43
RXN-16828	EC-1.14.14
PROGESTERONE-5-ALPHA-REDUCTASE-RXN	EC-1.3.1.22
RXN-14466	EC-1.1.1
RXN-8988	EC-6.2.1.4
6.3.2.10-RXN	EC-6.3.2.10
RXN-20986	EC-6.5.1.e
RXNQT-4142	EC-3.1.3.93
RXN-12963	EC-1.14.11.62
RXN-19632	
RXN-10131	
TRANS-RXN0-550	
RXN-17331	
GLYCOGEN-BRANCH-RXN	EC-2.4.1.18
RXN-9465	EC-1.14.13
RXN-8154	EC-1.1.1
RXN-15730	EC-4.2.1.160
RXN-20100	EC-1.1.1.417
RXN-13452	EC-2.4.1.91
RXN-12054	
2PGADEHYDRAT-RXN	EC-4.2.1.11
METHIONINE--GLYOXYLATE-TRANSAMINASE-RXN	EC-2.6.1.73
RXN-18596	EC-2.7.1.219
2.3.1.92-RXN	EC-2.3.1.92
RXN-16204	
RXN-8606	EC-4.2.3
RXN-3102	EC-1.21.3.6
RXN-14903	EC-1.5.5.2
RXN-19027	EC-3.2.2.17
RXN-12585	EC-1.2.1.36
RXN-10973	EC-2.7.4.24
CARBOXY-CISCIS-MUCONATE-CYCLASE-RXN	EC-5.5.1.5
COBALADENOSYLTRANS-RXN	
RXN0-1741	
TRANS-RXN-225	
RXN-17763	EC-1.1.1.M28
RXN-6641	EC-3.4.19.13
RXN-15346	
RXN-13912	EC-2.1.1
TYROSINE--ARGININE-LIGASE-RXN	EC-6.3.2.24
RXN-11421	
RXN-20602	
3.4.21.62-RXN	EC-3.4.21.62
RXN-18232	
1.1.1.261-RXN	EC-1.1.1.261
RXN0-7231	
QOR-RXN	EC-1.6.5.5
RXN-16721	
RXN-9078	EC-3.5.1
RXN-21080	
RXN-14363	
RXN-13071	
4.2.3.27-RXN	EC-4.2.3.27
RXN-10598	EC-4.2.3
RXN-19526	EC-3.13.1.M4
RXN-9601	EC-1.14.19.6
RXN-17202	EC-2.3.1.287
RXN-15813	EC-6.3.2
GKI-RXN	EC-2.7.1.165
RXN-13529	
RXN-8005	EC-2.4.1
3.1.16.1-RXN	EC-3.1.16.1
RXN-19989	EC-2.1.1.M49
RXN0-3521	EC-2.4.2.53
RXN-11927	
RXN-18684	EC-2.4.1.M22
LINOLENOYL-RXN	EC-6.2.1.3
RXN-16292	EC-6.3.2.47
2.1.1.62-RXN	EC-2.1.1.62
RXN-4122	
RXN66-477	EC-6.2.1.3
RXN-19115	EC-1.14.19.M18
RXN-8511	EC-4.2.3.32
RXN-11056	EC-1.14.14.1
RXN-14803	EC-2.3.1.16
D-ARGINASE-RXN	EC-3.5.3.10
RXN-12424	EC-3.2.1.81
RXN-7227	
ASCORBATE-PHOSPHORYLATION-III-RXN	EC-2.7.1
TRANS-RXN-108	
RXN-13985	EC-2.3.1
RXN-11516	EC-1.14.13.179
RXN-17648	
3.4.22.8-RXN	EC-3.4.22.8
RXN-15238	EC-2.1.1
1.13.12.12-RXN	EC-1.13.11.67
RXN-20511	EC-2.7.8.2
RXN18C3-28	EC-2.3.1
RXN-18141	EC-2.1.1
RXN-16811	EC-1.1.1
PPGPPSYN-RXN	EC-3.1.7.2
RXN-14448	EC-2.4.1.300
RXN-8965	EC-4.2.1.153
6-HYDROXYMELLEIN-O-METHYLTRANSFERASE-RXN	EC-2.1.1.108
RXN-20965	EC-1.3.1.M26
RXN8J2-138	EC-3.1.3.92
RXN-12943	
RXN-19607	EC-3.4.19.13
RXN-10113	EC-1.21.99.M3
TRANS-RXN0-531	
RXN-17314	EC-1.14.19.M9
GLYCEROL-2-PHOSPHATASE-RXN	EC-3.1.3.19
RXN-9449	
RXN-8134	EC-3.2.1.147
RXN-15710	EC-5.4.99.62
RXN-13432	EC-1.14.14.114
RXN-2008	
RXN-12038	EC-2.4.1.266
2.8.3.13-RXN	EC-2.8.3.13
MANNURONATE-REDUCTASE-RXN	EC-1.1.1.131
RXN-18572	EC-6.1.3.1
2.3.1.45-RXN	EC-2.3.1.45
RXN-16186	EC-1.14.14
RXN8J2-1	EC-2.4.1.M61
RXN-2882	EC-4.2.1.147
RXN-19602	EC-3.4.19.13
RXN-19009	EC-2.4.1.214
RXN-17310	EC-2.7.1.M2
RXN-10956	
GLYCERATE-DEHYDROGENASE-RXN	EC-1.1.1.29
CHORPYRLY-RXN	EC-4.1.3.40
RXN-8119	EC-2.6.1.108
RXN0-1401	EC-2.7.4.23
RXN-20077	
RXN-6543	EC-1.14.11
RXN-12035	EC-1.21.99.3
RXN-13895	
MANNPDEHYDROG-RXN	EC-1.1.1.17
RXN-11406	
2.3.1.42-RXN	EC-2.3.1.42
3.4.21.41-RXN	EC-3.4.21.41
RXN-8585	EC-4.2.3
1.1.1.222-RXN	EC-1.1.1.237
RXN-14876	EC-5.5.1.23
RXN0-7143	
RXN-12560	EC-1.1.1.36
RXN-16700	
BLASTICIDIN-S-DEAMINASE-RXN	EC-3.5.4.23
RXN-14343	EC-4.2.99.22
TRANS-RXN-200	
4.2.2.22-RXN	EC-4.2.2.22
RXN-17734	EC-3.1.4.3
RXN-19509	EC-2.3.1
RXN-15321	EC-2.4.1
RXN-17178	EC-2.3.1.M11
TRIPHOSPHATASE-RXN	EC-3.6.1.25
GDP-6-DEOXY-D-TALOSE-4-DEHYDROGENASE-RXN	EC-1.1.1.187	EC-1.1.1.135
RXN-20582	EC-1.13.11.34
RXN-7977	EC-1.14.14.57
RXN-18213	EC-1.14.13.237
RXN-19971	EC-2.3.1.M59
RXN-11908	EC-1.14.14.149
PYRIDOXINE-5-DEHYDROGENASE-RXN	EC-1.1.99.9
RXN-9057	
LEUKOTRIENE-E4-20-MONOOXYGENASE-RXN	EC-1.14.13.34
RXN-21051	EC-3.2.1.ay
2.1.1.145-RXN	EC-2.1.1.145
RXN-13042	EC-1.1.1
RXN66-359	EC-1.14.15.4
RXN-10456	EC-6.3.2.z
RXN-8495	EC-1.13.11.58
RXN-9577	EC-2.4.1.M28
RXN-14787	EC-1.1.1.M19
RXN-15791	EC-5.3.1
RXN-12409	
RXN-13510	EC-1.14.13
ARYL-ACYLAMIDASE-RXN	EC-3.5.1.13
3.1.1.72-RXN	EC-3.1.1.72
TRANS-CINNAMATE-2-MONOOXYGENASE-RXN	EC-1.14.13.14
RXN-18663	EC-2.7.1.bv
RXN-17631	
RXN-16267	EC-1.5.1
RXN-15222	
RXN-37	EC-1.2.1.3
RXN-20458	
RXN-19091	
RXN-18122	EC-2.1.1.336
RXN-11030	
PHOSPHORIBULOKINASE-RXN	EC-2.7.1.19
CYSTINE-REDUCTASE-NADH-RXN	EC-1.8.1.6
RXN-8948	EC-6.3.3.6
RXN0-304	EC-5.1.3
RXN-20941	EC-2.7.1.230
RXN-7143	EC-2.5.1
RXN-12921	EC-1.1.1
RXN-13966	EC-2.4.1.298
RXN-10096	EC-1.13.11
TRANS-RXN0-512	
RXN-11486	EC-2.5.1.85
3.4.22.30-RXN	EC-3.4.22.30
RXN-9434	EC-1.1.1.296
1.11.1.15-RXN	EC-1.11.1.24
RXN-15691	
RXN18C3-15	EC-3.2.1
RXN-13409	EC-4.2.3
RXN-16786	EC-1.14.13.190
2.7.9.4-RXN	EC-2.7.9.4
RXN-1443	EC-2.8.2.24
RXN-18555	EC-2.3.3.20
5.3.3.15-RXN	EC-5.3.2.7
RXN-16164	EC-1.1.1
RXN-19586	EC-4.4.1.13
RXN-2541	EC-2.5.1.115
RXN-17280	EC-2.1.1.M14
RXN-18991	
GLUTATHIONE-OXIDASE-RXN	EC-1.8.3.3
RXN-10937	EC-4.4.1
RXN-8081	EC-6.3.2.34
RXN-9993	EC-2.7.7.92
RXN-20059	EC-2.7.7.102
RXN-6423	EC-2.6.1.82
RXN-12018	EC-3.4.23.47
RXN-13878	EC-2.4.1
RXN-11389	
MALTOSE-PHOSPHORYLASE-RXN	EC-2.4.1.8
2.3.1.159-RXN	EC-2.3.1.159
3.4.21.2-RXN	EC-3.4.21.2
RXN-8566	EC-4.2.3.76
1.1.1.177-RXN	EC-1.1.1.177
RXN-14859	EC-1.1.1.362
RXN0-7080	
RXN-16672	
RXN-12533	EC-3.4.13.M2
BETA-LACTAMASE-RXN	EC-3.5.2.6
RXN-14318	EC-1.14.11
TRANS-RXN-172	
4.2.1.73-RXN	EC-4.2.1.73
RXN-17716	EC-1.3.1.112
RXN-19429	EC-1.3.1.114
RXN-15305	EC-2.1.1.304
RXN-17153	
TRANS-RXN0-623	EC-6.2.1.3
GALACTURIDYLYLTRANS-RXN	EC-2.7.7.12
RXN-20566	EC-3.1.3.4
RXN-7947	EC-5.3.99.8
RXN-18197	EC-2.3.3.17
RXN-19947	EC-3.2.1.33	EC-2.4.1.25
PTERIN-DEAMINASE-RXN	EC-3.5.4.11
RXN-11889	EC-2.4.1.255
RXN-9036	EC-2.4.1
2.1.1.124-RXN	EC-2.1.1.321
RXN-21034	EC-4.3.99.M4
RXN66-342	EC-1.1.1.145
RXN-1302	EC-1.1.1.311
RXN-8478	
RXN-10439	EC-6.3.2.z
RXN-14771	EC-1.3.3.6
RXN-9509	EC-3.5.1.126
RXN-12391	EC-2.4.1.25
RXN-15771	EC-2.2.1
ARACHIDONATE-5-LIPOXYGENASE-RXN	EC-1.13.11.34
RXN-13493	
THYKI-RXN	EC-2.7.1.145	EC-2.7.1.21
3-OXOLAURATE-DECARBOXYLASE-RXN	EC-4.1.1.56
RXN-17612	EC-1.14.13.M36
RXN-18646	EC-1.3.1.M14
RXN-15199	EC-4.2.1
RXN-16250	EC-3.2.1.40
RXN-20436	EC-5.5.1.9
RXN-3583	EC-2.3.1.115
RXN-18103	
RXN-19067	EC-1.14.19.56
PHOSPHO-DETHIO-RXN	EC-3.13.1
RXN-11011	EC-6.3.2
RXN-8927	EC-2.3.2.w
CYCLOPENTANOL-DEHYDROGENASE-RXN	EC-1.1.1.163
RXN-20923	EC-1.2.1
RXN0-262	EC-2.7.7.77
RXN-12901	EC-1.14.13.238
RXN-7063	EC-2.4.1
RXN-10079	EC-1.14.13.1
TRANS-RXN0-495	
RXN-13950	EC-2.3.1
RXN-11457	EC-2.6.1
RXN-942	
3.4.21.97-RXN	EC-3.4.21.97
RXN-15659	EC-2.4.1.M15
1.1.3.37-RXN	EC-1.1.3.37
RXN-13389	
RXN0-962	EC-2.7.1.218
2.7.7.57-RXN	EC-2.7.7.57
RXN-16770	
RXN-18524	EC-1.3.99
RXN-14414	EC-1.14.14.119
RXN-16148	EC-1.14.18.4
5.1.1.16-RXN	EC-5.1.1.16
RXN-2224	
RXN-19567	EC-3.4.13.23
RXN-18974	EC-2.1.1.347
RXN-17257	EC-2.3.1.M8
RXN-10914	EC-2.1.1.6
GLUTAMATE-DEHYDROGENASE-NADP+-RXN	EC-1.4.1.3
RXN-9970	EC-3.1.4
RXN-8052	EC-4.4.1.13
RXN-6266	EC-1.14.11.21
RXN-20033	
RXN-13857	EC-1.14.19.12
RXN-11995	EC-2.3.1
RXN-11371	EC-2.5.1.108
MALATE-DEHYDROGENASE-NADP+-RXN	EC-1.1.1.82
3.4.17.19-RXN	EC-3.4.17.19
2.3.1.132-RXN	EC-2.3.1.132
1.1.1.117-RXN	EC-1.1.1.117
RXN66-526	EC-3.1.3.58	EC-3.1.3.9
RXN0-7023	EC-3.1.13
